ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
PRT;Europe;Southern Europe;Portugal;9129597.556673;No data;;No data;3.861134051219449;"(IFAP, 2015; Tubio, 2015)";0.1-5%;No data;;No data;"While Common land (baldios i.e. ""free land"") existed in the whole continental and insular Portuguese territory, they are now almost restricted to the north half of the continental territory. In 1875, they covered more than 4 million hectares, but consecutive land reforms and individualized privatisations drastically reduced their number and coverage. If the communal property was abolished in the 1966 civil code, the new Portuguese constitution of 1975 now enshrines this form of property, as well as private and public property and the current legal framework of the common land has been passed in 1997 (Act nº 68, amended in 1997 by Act nº 89).<br><br>Currently, there are 6057 registered Baldios with a total area of 352 506 ha, thus covering about 3.9% of mainland Portugal. They are owned and managed by local communities.<br>Sources : Instituto de Financiamento de Agricultura e Pescas (IFAP), 2015. A presentacao Baldios. Available at : http://www.drapn.min-agricultura.pt/drapn/Apresentacao_Baldios_IFAP_24_03_2015_VPAguiar.pdf<br>Tubio, Xosé. 2015. Common Land and Common Pasture in Galiza (NW of Span) and the North of Portugal. Available at : http://www.efncp.org/download/common-ground2015/Commons3Tubio.pdf";2017;
PRI;Americas;Caribbean;Puerto Rico (U.S.);896112.09;No data;;No data;;;No data;No data;;No data;;2017;
QAT;Asia;Western Asia;Qatar;1125007.1398;No data;;No data;;;No data;No data;;No data;;2017;
COG;Africa;Middle Africa;Republic of Congo;34015207.0;0.87;(Liz Alden Wily, 2015);80.1-100%;1.4;(Liz Alden Wily, 2015);0.1-5%;85.6%;;80.1-100%;(Liz Alden Wily, 2015);2017;
REU;Africa;Eastern Africa;Reunion (France);251954.0;No data;;No data;;;No data;No data;;No data;;2017;
ROU;Europe;Eastern Europe;Romania;23483369.818;0.04356274282304538;(Associative Environmentality, 2016);0.1-5%;3.1681994780396643;(Associative Environmentality, 2016);0.1-5%;0.012;(Calculation based on Associative Environmentality, 2016, and Nichiforel et al, 2015);No data;Obsti and Composesorate are large areas managed in collective ways by community-based institutions throughout the Carpathian Mountains of Romania. They cover at least 873 000 ha of forestland and an estimated 150 000 ha of pastureland (totalling about 4.4% of the country land area) within 1 700 registered associations with 600 000 members.<br>Source : Associative Environmentality, 2016. Romanian Forest Commons Project Webpage, consulted 2016.12.19. Available at : http://romaniacommons.wixsite.com/project<br><br>As of 2012, it is estimated that communities own 744, 000 hectares of forests. <br>Source : Nichiforel, L., Bouriaud, L., Dragoi, M., Dorondel, S., Montescu, L., Terpe, H. (2015) Forest Land Ownership Change in Romania. COST Action FP1201 FACESMAP Country Report, European Forest Institute Central-East and South-East European Regional Office, Vienna.;2017;
RUS;Europe;Eastern Europe;Russia;1662463774.1;No data;;No data;4.4;(RRI, 2015);0.1-5%;No data;;No data;Cossack Associations in Shared Ownership are formally recognized forms of community land ownership covering 0.02 Mha. 72.15 Mha of lands are designated for Indigenous peoples and local communities as Traditional Indigenous Collectives under State or Municipal Ownership and Cossack Associations under State or Municipal Ownership. Thus, 4.41% of the  country land area is formally recognized as Indigenous peoples and community lands.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>No data could be found regarding the land area not formally recognized to Indigenous Peoples and rural communities. Nevertheless, ethnic Russians are mainly living in urban areas, while Indigenous Peoples are mainly rural dwellers. Beyond the 40 peoples officially recognized as â€œindigenous small-numbered peoplesâ€ in Russia (accounting for only 0.2% of the country population but largely scattered across the North, Siberia and the Far East), other peoples are pursuing recognition. Still, their self-identification as indigenous varies.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
RWA;Africa;Eastern Africa;Rwanda;2392011.0;2.2%;(Liz Alden Wily, 2015);0.1-5%;0;(Liz Alden Wily, 2015);0;2.2%;(Liz Alden Wily, 2015);0.1-5%;No provision for communal lands or collective title in new land law of 2013 (No. 034) (or in previous Organic Land Law, 2005). <br>Art. 19 of the new law is explicit that swamp lands belong to the state, previously the main common property under customary tenure. Similarly for forests, formally designated as state property (Art. 12 & 14). Customary tenure has been superseded by issue of statutory certificates of empheteutic lease in rural areas covering 2,061,308 ha (86.5% of total land area), the result of mass individualised titling programme since 2006. Rural farms are leased for 99 years renewable and freely transferable (data as of April 2015: pers comm. Thierry Hoza).<br>However, the 2013 law now accepts customary rights as one basis for application for titles (Art. 5). Formalization is obligatory (Art. 20).<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily, forthcoming).;2017;
SHN;Africa;Western Africa;Saint Helena (UK);28889.6;No data;;No data;;;No data;No data;;No data;The dependent territory has not been fully assessed yet.;2017;
KNA;Americas;Caribbean;Saint Kitts and Nevis;26688.005999999998;No data;;No data;;;No data;No data;;No data;;2017;
LCA;Americas;Caribbean;Saint Lucia;61671.0;No data;;No data;;;No data;No data;;No data;;2017;
SPM;Americas;Northern America;Saint Pierre and Miquelon (France);22433.436;No data;;No data;;;No data;No data;;No data;The country has not been assessed yet;2017;
VCT;Americas;Caribbean;Saint Vincent and the Grenadines;39945.2;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, Indigenous Peoples are estimated to number 6Â 000 people in St. Vincent, thus representing 5.3Â % of the country population.<br>Source :<br>International Work Group for Indigenous Affairs and Sille Stidsen, 2007. The Indigenous World 2007. Copenhagen: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0083_NY-THE_INDIGENOUS_ORLD-2007.pdf;2017;
BLM;Americas;Caribbean;Saint-BarthÃ©lemy;2465.1215;No data;;No data;;;No data;No data;;No data;;2017;
MAF;Americas;Caribbean;Saint-Martin (France);5093.325;No data;;No data;;;No data;No data;;No data;;2017;
WSM;Oceania;Polynesia;Samoa;286255.062;0.81;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;81.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The Constitution of Samoa formally recognizes and protects customary land tenure, and prohibits further alienation of customary land than the 19% of the country land area that  had already been converted to freehold (4%) or public land (15%) by the time the country achieved independence (1962).<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
SMR;Europe;Southern Europe;San Marino;6109.45;No data;;No data;;;No data;No data;;No data;;2017;
STP;Africa;Middle Africa;Sao Tome and Principe;100673.0;No data;(Liz Alden Wily, 2015);No data;;(Liz Alden Wily, 2015);No data;No data;(Liz Alden Wily, 2015);No data;No data.;2017;
SAU;Asia;Western Asia;Saudi Arabia;191152443.17;No data;;No data;0;(RRI, 2015);0;No data;;No data;There are no formally recognized Indigenous peoples and community lands in Saudi Arabia.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
SEN;Africa;Western Africa;Senegal;19563979.266;69.5%;(Liz Alden Wily, 2015);60.1-80%;57.99999999999999;(Liz Alden Wily, 2015);40.1-60%;11.5%;(Liz Alden Wily, 2015);5.1-20%;"The official figure for community lands in the form of zone des terroirs is used here, as lands acknowledged as governed by communities through rural councils, and which are not legally available for privatization under non-community based tenure.<br>Rights are relatively secure in that the state may not appropriate these community land territories through other than compulsory acquisition for public purpose, reinforcing principle that the territories are owned.<br>Note that customary tenure is formally abolished (1964 law) but continues to be practised, manifest in community based rules as applied by communities under supervision of rural councils.<br>Additional community lands exist under other categories, especially in lands declared to be pioneer zones, governed directly by the state.  The Government has instituted a National Commission for Land Reform (CNRF), responsible for drafting a new land policy following nationwide dialogue in 2015.<br>Estimated area of zone de terroirs is 58% of country.<br>Most recent source : Oussobuby Toure and others, 9 Mai 2013, Cadre dâ€™Analyse de la Gouvernance FonciÃ¨re au Senegal, Final Report, commissioned by The World Bank.<br>Also referred to :<br>Jacques Faye, 2008, Land and Decentralization in Senegal, Issue Paper No. 149, IIED, London;<br>Gert Hesseling, 2009, Land Reform in Senegal: l'Histoire se rÃ©pÃ¨te? in J. Ubink, A. Hoekema and W. Assies (eds.). Legalizing Land Rights, Leiden University Press;<br>USAID, 2010, Country Profile, Property Rights and Rights to Resources.";2017;
